connnode,c2,c1,c0,PgMax,PgMin,RgMax,RgMin,PgPrev
1,0,0.01,0,668,0,100,-100,0
1,0,395.37,0,554.28,0,100,-100,0
1,0,86.38,0,300,0,100,-100,0
1,0,0.01,0,18.72,0,100,-100,0
2,0,0.01,0,50.6,0,100,-100,0
2,0,400.68,0,1524,0,100,-100,0
2,0,400.68,0,12,0,100,-100,0
3,0,0.01,0,550.99,0,100,-100,0
3,0,0.01,0,19,0,100,-100,0
3,0,395.37,0,553.12,0,100,-100,0
3,0,0.01,0,15.12,0,100,-100,0
4,0,0.01,0,35,0,100,-100,0
4,0,382.24,0,2284,0,100,-100,0
4,0,86.38,0,440,0,100,-100,0
4,0,400.68,0,259,0,100,-100,0
5,0,86.38,0,1074,0,100,-100,0
5,0,400.68,0,23.2,0,100,-100,0
6,0,0.01,0,1390.92,0,100,-100,0
6,0,395.37,0,33,0,100,-100,0
6,0,0.01,0,49.4,0,100,-100,0
7,0,0.01,0,314.25,0,100,-100,0
7,0,86.38,0,1215,0,100,-100,0
7,0,400.68,0,1102,0,100,-100,0
10,0,86.38,0,1207,0,100,-100,0
10,0,400.68,0,1875,0,100,-100,0
10,0,639.98,0,420,0,100,-100,0
11,0,0.01,0,180,0,100,-100,0
11,0,86.38,0,2406,0,100,-100,0
11,0,382.24,0,1987,0,100,-100,0
11,0,400.68,0,155,0,100,-100,0
11,0,400.68,0,1039,0,100,-100,0
12,0,382.15,0,980,0,100,-100,0
12,0,400.68,0,1885,0,100,-100,0
12,0,400.68,0,210,0,100,-100,0
12,0,86.38,0,2004,0,100,-100,0
15,0,382.24,0,7832,0,100,-100,0
16,0,382.24,0,3987,0,100,-100,0
16,0,400.68,0,7040,0,100,-100,0
16,0,400.68,0,1218,0,100,-100,0
17,0,382.24,0,2021,0,100,-100,0
18,0,382.24,0,1982,0,100,-100,0
18,0,400.68,0,228,0,100,-100,0
19,0,400.68,0,2845,0,100,-100,0
19,0,0.01,0,406.8,0,100,-100,0
20,0,392.15,0,1200,0,100,-100,0
20,0,0.01,0,360,0,100,-100,0
21,0,400.68,0,665,0,100,-100,0
22,0,400.68,0,401,0,100,-100,0
23,0,382.24,0,3801,0,100,-100,0
23,0,639.98,0,363,0,100,-100,0
23,0,382.15,0,470.4,0,100,-100,0
23,0,400.68,0,4431,0,100,-100,0
23,0,650,0,100,0,100,-100,0
25,0,400.68,0,2123,0,100,-100,0
25,0,665.11,0,1245,0,100,-100,0
26,0,382.24,0,1966,0,100,-100,0
26,0,400.68,0,1131,0,100,-100,0
26,0,400.68,0,3165,0,100,-100,0
26,0,665.11,0,1355,0,100,-100,0
27,0,86.38,0,1081,0,100,-100,0
27,0,0.01,0,300,0,100,-100,0
28,0,400.68,0,1320,0,100,-100,0
28,0,400.68,0,208,0,100,-100,0
29,0,86.38,0,1261,0,100,-100,0
29,0,400.68,0,905,0,100,-100,0
29,0,650,0,140,0,100,-100,0
