fromnode,tonode,resistance,reactance,contingencymarked,capacity,id,b
1,2,0.0122,0.02,1,525,1,0.0856
1,3,0.007,0.15,1,132,2,0.052
2,4,0.0004,0.065,1,760,5,0.4454
3,4,0.003,0.041,1,648,7,0.0044
4,6,0.0013,0.023,1,1500,10,0.1496
4,7,0.001,0.024,1,1000,13,0.125
4,5,0.0021,0.0135,1,1090,14,0.1538
7,6,0.00151,0.01613,1,1390,16,0.59296
7,8,0.000001,0.0001,1,2200,17,0.000001
6,9,0.00078,0.00852,1,2100,18,0.0737
5,10,0.0004,0.0001,1,2180,20,0.728
5,6,0.003,0.2,1,950,23,0.2939
10,11,0.00083,0.0175,1,3070,24,0.6624
9,13,0.00164,0.0163,1,1390,26,0.4868
9,11,0.00492,0.0343,1,775,29,0.2502
11,12,0.00053,0.00835,1,4840,30,5.373
13,12,0.0007,0.042,1,2520,32,0.3907
13,14,0.0004,0.0052,1,2210,35,0.2664
13,8,0.0001,0.0085,1,3320,37,0.0798
8,15,0.00097,0.009,1,2400,40,0.3835
8,14,0.00096,0.01078,1,3100,41,0.385
14,15,0.00049,0.007,1,2400,42,0.1943
14,12,0.00164,0.023,1,955,45,0.1104
14,16,0.00107,0.01163,1,1040,46,1.1745
16,17,0.0005,0.016,1,2580,48,0.2795
12,17,0.00033,0.0052,1,2770,50,0.3534
12,16,0.00018,0.00222,1,5000,53,0.5573
17,15,0.00056,0.0141,1,3820,55,0.4496
26,17,0.001,0.01072,1,2150,56,0.2651
18,17,0.001,0.01072,1,1890,57,0.4573
18,19,0.00069,0.0097,1,2100,59,0.4574
15,18,0.00042,0.0018,1,3100,60,0.2349
15,20,0.00117,0.0096,1,1970,63,0.4122
21,22,0.00035,0.0023,1,2780,64,0.2249
21,23,0.00132,0.0143,1,1590,67,0.3656
24,17,0.00145,0.01824,1,2780,68,0.9169
24,25,0.00025,0.01,1,2780,71,0.1586
24,21,0.0012,0.0048,1,2780,72,0.4446
24,23,0.00037,0.0059,1,2780,75,0.2955
19,17,0.00178,0.0172,1,2010,76,0.8403
19,25,0.00034,0.0041,1,3275,79,0.429
19,24,0.00048,0.0061,1,2780,81,0.3041
20,26,0.00151,0.0182,1,2010,82,0.53
20,29,0.00086,0.0008,1,2780,83,0.9622
20,19,0.00039,0.003,1,2770,86,0.2466
29,27,0.00068,0.007,1,2210,88,0.2388
29,25,0.00104,0.0091,1,1390,89,0.2918
25,22,0.0002,0.0057,1,6960,92,0.532
28,22,0.0002,0.00503,1,3100,94,0.1797
27,28,0.00038,0.00711,1,3070,96,0.2998
26,27,0.00051,0.00796,1,2780,99,0.34
