fromnode,tonode,resistance,reactance,contingencymarked,capacity,id,b
1,2,0.0122,0.02,1,10000,,0.0856
1,3,0.007,0.15,1,10000,,0.052
1,2,0.0122,0.02,1,10000,,0.2844
1,3,0.007,0.15,1,10000,,0.052
2,4,0.0004,0.065,1,10000,,0.4454
2,4,0.0004,0.065,1,10000,,0.5545
4,7,0.00211,0.0135,1,10000,,0.1174
4,6,0.0013,0.023,1,10000,,0.1496
4,6,0.0013,0.023,1,10000,,0.1758
4,5,0.001,0.024,1,10000,,0.125
4,5,0.001,0.024,1,10000,,0.125
4,7,0.0021,0.0135,1,10000,,0.1538
5,6,0.00085,0.01051,1,10000,,0.38254
5,6,0.00151,0.01613,1,10000,,0.59296
6,9,0.00078,0.00852,1,10000,,0.0737
6,9,0.00078,0.00852,1,10000,,0.4635
7,8,0.0004,0.0001,1,10000,,0.728
7,8,0.0004,0.0001,1,10000,,1.2872
7,6,0.003,0.2,1,10000,,0.2939
7,6,0.003,0.2,1,10000,,0.2939
8,10,0.00083,0.0175,1,10000,,0.6624
8,10,0.00083,0.0175,1,10000,,0.6624
9,11,0.00164,0.0163,1,10000,,0.4868
9,11,0.00164,0.0163,1,10000,,0.4868
9,10,0.00352,0.02453,1,10000,,0.1898
9,10,0.00492,0.0343,1,10000,,0.2502
10,15,0.00053,0.00835,1,10000,,5.373
10,15,0.00052,0.0063,1,10000,,1.0636
11,15,0.0007,0.042,1,10000,,0.3907
11,15,0.00099,0.042,1,10000,,0.5738
11,13,0.0004,0.0052,1,10000,,0.2498
11,13,0.0004,0.0052,1,10000,,0.2664
11,12,0.0001,0.0085,1,10000,,0.0798
11,12,0.0001,0.0085,1,10000,,0.0798
12,13,0.00096,0.01078,1,10000,,0.385
12,18,0.00074,0.009,1,10000,,0.2911
12,18,0.00097,0.009,1,10000,,0.3835
12,13,0.00096,0.01078,1,10000,,0.385
13,18,0.00049,0.007,1,10000,,0.1943
13,18,0.00084,0.007,1,10000,,0.7759
13,15,0.00137,0.023,1,10000,,0.6643
13,15,0.00164,0.023,1,10000,,0.1104
13,14,0.00107,0.01163,1,10000,,1.1745
13,14,0.00082,0.01201,1,10000,,1.2125
14,16,0.0005,0.016,1,10000,,0.2795
14,16,0.005,0.018,1,10000,,0.1466
15,16,0.00033,0.0052,1,10000,,0.3534
15,16,0.00016,0.00172,1,10000,,0.3992
15,14,0.00019,0.00222,1,10000,,0.7592
15,14,0.00018,0.00222,1,10000,,0.5573
16,19,0.00056,0.0141,1,10000,,0.4496
16,19,0.00056,0.0141,1,10000,,0.4496
17,16,0.001,0.01072,1,10000,,0.2651
17,16,0.001,0.01072,1,10000,,0.4573
17,22,0.00068,0.0097,1,10000,,0.4566
17,22,0.00069,0.0097,1,10000,,0.4574
18,17,0.00042,0.0018,1,10000,,0.2349
18,17,0.00042,0.0018,1,10000,,0.2349
18,23,0.00138,0.0096,1,10000,,0.4829
18,23,0.00117,0.0096,1,10000,,0.4122
20,26,0.00035,0.0023,1,10000,,0.2249
20,26,0.00035,0.0023,1,10000,,0.2249
20,19,0.00178,0.0213,1,10000,,0.6682
20,19,0.00132,0.0143,1,10000,,0.3656
21,16,0.00145,0.01824,1,10000,,0.9169
21,16,0.00145,0.01824,1,10000,,0.9169
21,25,0.00025,0.01,1,10000,,0.1586
21,25,0.00025,0.01,1,10000,,0.1586
21,20,0.0012,0.0048,1,10000,,0.4446
21,20,0.0012,0.0048,1,10000,,0.7
21,19,0.00037,0.0059,1,10000,,0.294
21,19,0.00037,0.0059,1,10000,,0.2955
22,16,0.00178,0.0172,1,10000,,0.8403
22,16,0.00178,0.0172,1,10000,,0.627
22,25,0.00037,0.0041,1,10000,,0.4098
22,25,0.00034,0.0041,1,10000,,0.429
22,21,0.00019,0.00111,1,10000,,0.1232
22,21,0.00048,0.0061,1,10000,,0.3041
23,29,0.00151,0.0182,1,10000,,0.53
23,24,0.00086,0.0008,1,10000,,0.9622
23,24,0.00023,0.0007,1,10000,,2.8447
23,22,0.00055,0.003,1,10000,,0.3468
23,22,0.00039,0.003,1,10000,,0.2466
23,29,0.00151,0.0182,1,10000,,0.53
24,28,0.00068,0.007,1,10000,,0.2388
24,25,0.00104,0.0091,1,10000,,0.2918
24,25,0.00104,0.0091,1,10000,,0.2918
24,28,0.00068,0.007,1,10000,,0.2388
25,26,0.0002,0.0057,1,10000,,0.532
25,26,0.0002,0.0057,1,10000,,0.532
27,26,0.0002,0.00503,1,10000,,0.1797
27,26,0.0002,0.00503,1,10000,,0.1797
28,27,0.00038,0.00711,1,10000,,0.2998
28,27,0.00038,0.00711,1,10000,,0.2998
29,28,0.00051,0.00796,1,10000,,0.34
29,28,0.00051,0.00796,1,10000,,0.34
3,4,0.003,0.041,1,10000,,0.0044
3,4,0.003,0.041,1,10000,,0.044
3,2,0.03004,0.077,1,10000,,0.0124
