connnode,c2,c1,c0,PgMax,PgMin,RgMax,RgMin,PgPrev
1,0,44,0,2.251785492,0,100,-100,161.62
1,0,44,0,3.737964029,0,100,-100,97.47
1,0,44,0,5.629463607,0,100,-100,
1,0,1,0,8978.821791,0,100,-100,
1,0,1,0,6967.152005,0,100,-100,
1,0,1,0,12.83707062,0,100,-100,
1,0,1,0,796.7207179,0,100,-100,
1,0,1,0,99.26055589,0,100,-100,
1,0,1,0,29,0,100,-100,
1,0,1,0,7,0,100,-100,
2,0,100,0,168.0979919,0,100,-100,
2,0,44,0,0.540428503,0,100,-100,
2,0,44,0,1.576249771,0,100,-100,
2,0,120,0,111.7991409,0,100,-100,
2,0,80,0,692.8796024,0,100,-100,
2,0,1,0,21386.04561,0,100,-100,
2,0,1,0,2660.161738,0,100,-100,
2,0,1,0,693.2018224,0,100,-100,
2,0,1,0,154,0,100,-100,
3,0,44,0,2.521999682,0,100,-100,
3,0,1,0,849.5261071,0,100,-100,
3,0,1,0,19.25560637,0,100,-100,
3,0,1,0,509.2548027,0,100,-100,
3,0,1,0,82.98457488,0,100,-100,
4,0,44,0,6.755356231,0,100,-100,
4,0,44,0,5.629463607,0,100,-100,
4,0,44,0,29.27321115,0,100,-100,
4,0,44,0,2.476964065,0,100,-100,
4,0,2,0,12.03499985,0,100,-100,
4,0,1,0,1082.748434,0,100,-100,
4,0,1,0,2086.024033,0,100,-100,
4,0,1,0,8.25260967,0,100,-100,
5,0,44,0,2.927320969,0,100,-100,
5,0,2,0,37.11999893,0,100,-100,
5,0,2,0,18.125,0,100,-100,
5,0,1,0,2051.535121,0,100,-100,
5,0,1,0,2647.186898,0,100,-100,
5,0,1,0,1604.633894,0,100,-100,
6,0,44,0,7.656070526,0,100,-100,
6,0,1,0,5345.299905,0,100,-100,
6,0,1,0,96.27802747,0,100,-100,
6,0,1,0,104.3038192,0,100,-100,
7,0,44,0,11.70928387,0,100,-100,
7,0,44,0,1.170928363,0,100,-100,
7,0,1,0,2284.687479,0,100,-100,
7,0,1,0,6238.616095,0,100,-100,
7,0,1,0,320.9267788,0,100,-100,
7,0,1,0,260.7595463,0,100,-100,
7,0,1,0,37.595222,0,100,-100,
7,0,1,0,10,0,100,-100,
8,0,100,0,115.3892975,0,100,-100,
8,0,100,0,196.5891724,0,100,-100,
8,0,44,0,19.51570841,0,100,-100,
8,0,44,0,3.122513261,0,100,-100,
8,0,44,0,2.927356315,0,100,-100,
8,0,44,0,1.073363934,0,100,-100,
8,0,120,0,76.74347687,0,100,-100,
