connnode,demand,,,,,
1,-390.3,,,,Beauly,1
2,-624.6954815,,,,Peterhead,2
3,-202.172,,,,Errochty,3
4,-1828.529,,,,Denny/Bonnybridge,4
7,-2168.74463,,,,Neilston,7
6,-660.162,,,,Strathaven,6
5,-572.218,,,,Torness,5
10,-162.219,,,,Eccles,10
9,-581.17424,,,,Harker,9
11,-3507.745,,,,Stella West,11
13,-1959.865,,,,Penwortham,13
8,-3956.87,,,,Deeside,8
14,-4011.525,,,,Daines,14
16,-3385.079,,,,Th. Marsh/Stocksbridge,16
12,-2901.785,,,,Thornton/Drax/Eggborough,12
17,-1046.224,,,,Keadby,17
18,-2713.556,,,,Ratcliffe,18
15,-5457.761,,,,Feckenham,15
23,-1280.023,,,,Walpole,23
21,-1938.791,,,,Bramford,21
24,-1217.968,,,,Pelham,24
19,-4018.08,,,,Sundon/East Claydon,19
20,-5241.234,,,,Melksham,20
29,-1812.564,,,,Bramley,29
25,-12013.167,,,,London,25
22,-2016.518,,,,Kemsley,22
28,-1212.657,,,,Sellindge,28
27,-2999.867,,,,Lovedean,27
26,-3965.641,,,,S.W.Penisula,26
