fbus,tbus,flow
1,2,15358.054239778498
1,3,9925.873118789974
1,2,51026.0587125351
1,3,9925.873118789974
2,4,1743.721535104213
2,4,2170.8432672098925
3,4,-33.22306931091394
3,4,-332.2306931091394
4,5,-57999.43522934876
4,6,-25550.703268569887
4,6,-30025.49220999055
4,7,5127.033047128859
4,7,5127.033047128859
4,5,-75982.22434645519
7,6,-81025.69618895199
7,6,-125594.70071679034
7,8,0.0
6,9,33391.5857605178
6,9,210000.00000000003
5,10,590092.3852695263
5,10,1.0433611515369975e6
5,6,95000.0
5,6,95000.0
10,11,182490.77978790205
10,11,182490.77978790205
9,13,53251.17814429077
9,13,53251.17814429077
9,11,58790.96722621902
9,11,77499.99999999999
11,12,125629.35369718003
11,12,24868.67310484286
13,12,87416.60195966745
13,12,128384.04454685737
13,14,93711.97788961593
13,14,99939.4351873246
13,8,15581.098597558053
13,8,15581.098597558053
8,14,69260.02462519988
8,15,61162.4053466795
8,15,80576.37392803705
8,14,69260.02462519988
14,15,5870.136656227844
14,15,23441.27139252282
14,12,-100578.00119625845
14,12,-16715.055444929898
14,16,9349.064736186216
14,16,9651.54618358943
16,17,-71960.19124848151
16,17,-37743.69959580461
12,17,-34667.093883514084
12,17,-39159.88646943641
12,16,120989.54799903088
12,16,88813.85023690715
17,15,125758.56597663242
17,15,125758.56597663242
26,17,-160381.0170333581
18,17,-154020.11333724036
18,19,-44565.500671400325
18,19,-44643.58302036466
15,18,13410.701475997445
15,18,13410.701475997445
15,20,87048.54966941767
15,20,74304.02189632214
21,22,265584.6648458996
21,22,265584.6648458996
21,23,-145072.56351472615
21,23,-79375.23080063434
24,17,278000.0
24,17,278000.0
24,25,166542.75188999256
24,25,166542.75188999256
24,21,-176569.7142857143
24,21,-278000.0
24,23,-180590.191070532
24,23,-181511.56959640206
19,17,-200999.99999999997
19,17,-149978.57907890037
19,25,208049.13555718143
19,25,217796.6792436087
19,24,-66823.16697497804
19,24,-164942.57367768523
20,26,76854.72480926279
20,29,13886.335043752593
20,29,41054.31022548639
20,19,-76564.38476738788
20,19,-54442.841071620096
20,26,76854.72480926279
29,27,2219.0013556918875
29,25,79509.3192370784
29,25,79509.3192370784
29,27,2219.0013556918875
25,22,-141683.37147253365
25,22,-141683.37147253365
28,22,-23075.39337336598
28,22,-23075.39337336598
27,28,37557.45662663399
27,28,37557.45662663399
26,27,-41236.81667405799
26,27,-41236.81667405799
