bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
1,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,130,0,12.18,-12.18,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,1516.8,0,165.7,-165.7,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,51,0,5.9,-5.9,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,101.8,0,118.7,-118.7,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,510.3,0,370.3,-370.3,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,140,-140,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,152,0,21.5,-21.5,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,54,0,8.6,-8.6,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
2,1000,0,113.9,-113.9,1,100,1,1000,0,0,0,0,0,0,0,0,0,0,0,0
