connnode,c2,c1,c0,PgMax,PgMin,RgMax,RgMin,PgPrev
1,0,62.4,0,2309.9,0,100,-100,0
2,0,56.4,0,1369,0,100,-100,0
3,0,43.4,0,3333.6,0,100,-100,0
4,0,54.3,0,1319.8,0,100,-100,0
5,0,52.4,0,498.6,0,100,-100,0
6,0,29,0,102.5,0,100,-100,0
7,0,29,0,101.3,0,100,-100,0
8,0,54.3,0,344.2,0,100,-100,0
9,0,29,0,147.7,0,100,-100,0
10,0,54.5,0,2344.6,0,100,-100,0
11,0,54.3,0,174.3,0,100,-100,0
12,0,67.4,0,5649.5,0,100,-100,0
13,0,29,0,253.1,0,100,-100,0
14,0,29,0,142.8,0,100,-100,0
15,0,54.3,0,595.7,0,100,-100,0
16,0,54.3,0,808.5,0,100,-100,0
17,0,54.3,0,261.2,0,100,-100,0
18,0,29,0,87.7,0,100,-100,0
19,0,67,0,4512,0,100,-100,0
20,0,54.3,0,539.2,0,100,-100,0
21,0,56.4,0,791.4,0,100,-100,0
22,0,51.8,0,1829.7,0,100,-100,0
23,0,52.4,0,2151.3,0,100,-100,0
24,0,54.3,0,1413.4,0,100,-100,0
25,0,39.4,0,1463.4,0,100,-100,0
26,0,29,0,143.3,0,100,-100,0
27,0,54.3,0,377.2,0,100,-100,0
28,0,52.4,0,184.1,0,100,-100,0
29,0,19,0,371.4,0,100,-100,0
30,0,31.8,0,621.5,0,100,-100,0
31,0,23.5,0,2391,0,100,-100,0
32,0,29,0,363.3,0,100,-100,0
33,0,29,0,142.8,0,100,-100,0
34,0,52.4,0,965.6,0,100,-100,0
35,0,63.7,0,2443.8,0,100,-100,0
36,0,31.8,0,901.1,0,100,-100,0
