connnode,c2,c1,c0,PgMax,PgMin,RgMax,RgMin,PgPrev
1,0,105,0,130,0,100,-100,0
1,0,120,0,1516.8,0,100,-100,0
1,0,70,0,51,0,100,-100,0
1,0,12,0,101.8,0,100,-100,0
1,0,5,0,510.3,0,100,-100,0
2,0,130,0,152,0,100,-100,0
2,0,70,0,54,0,100,-100,0
2,0,65,0,1000,0,100,-100,0
2,0,12,0,107.7,0,100,-100,0
2,0,5,0,55.3,0,100,-100,0
3,0,70,0,11,0,100,-100,0
3,0,65,0,2000,0,100,-100,0
3,0,65,0,1000,0,100,-100,0
3,0,12,0,22.9,0,100,-100,0
3,0,5,0,299.7,0,100,-100,0
4,0,130,0,634,0,100,-100,0
4,0,70,0,33,0,100,-100,0
4,0,12,0,66.7,0,100,-100,0
4,0,5,0,586.1,0,100,-100,0
5,0,45,0,100,0,100,-100,0
5,0,130,0,253,0,100,-100,0
5,0,70,0,43,0,100,-100,0
5,0,12,0,85.1,0,100,-100,0
5,0,5,0,17.5,0,100,-100,0
6,0,70,0,31,0,100,-100,0
6,0,12,0,62.2,0,100,-100,0
6,0,5,0,9.3,0,100,-100,0
7,0,70,0,34,0,100,-100,0
7,0,12,0,67.1,0,100,-100,0
7,0,5,0,0.2,0,100,-100,0
8,0,130,0,68,0,100,-100,0
8,0,70,0,92,0,100,-100,0
8,0,12,0,183.5,0,100,-100,0
8,0,5,0,0.7,0,100,-100,0
9,0,70,0,49,0,100,-100,0
9,0,12,0,98,0,100,-100,0
9,0,5,0,0.7,0,100,-100,0
10,0,45,0,742,0,100,-100,0
10,0,130,0,761,0,100,-100,0
10,0,70,0,12,0,100,-100,0
10,0,65,0,600,0,100,-100,0
10,0,12,0,24.5,0,100,-100,0
10,0,5,0,205.1,0,100,-100,0
11,0,130,0,121,0,100,-100,0
11,0,70,0,12,0,100,-100,0
11,0,12,0,23.7,0,100,-100,0
11,0,5,0,17.6,0,100,-100,0
12,0,130,0,230,0,100,-100,0
12,0,120,0,3400,0,100,-100,0
