Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,14A,25A,27E,27W,Grand Total
 HVDC Link,0,1000,3000,,,,,,,600,,0,,,,,,,1000,,500,0,,0,1000,,0,,,,0,0,,,0,0,7100
 Oil   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biomass ,0,0,0,0,100,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,1724,0,366,0,0,52,0,0,0,0,0,280,120,0,3384
Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas,130,152,0,634,253,0,0,68,0,761,121,230,0,0,190,435,249,0,99,349,116,0,138,444,0,0,3,2,0,0,2,0,0,20,17,0,4413
Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,322,536,0,0,0,0,33,1124
Marine,101.8,107.7,22.9,66.7,85.1,62.2,67.1,183.5,98,24.5,23.7,75.9,121.4,80.7,129.2,9.2,8.1,54.4,32.3,104,69.2,33.7,98.7,28.6,35.9,8.5,34,28.2,18.8,3,18.8,20.4,22.8,49.5,29.9,41.3,1999.7
Nuclear,1516.8,0,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,2400,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,9734.8
Other,51,54,11,33,43,31,34,92,49,12,12,38,61,40,65,5,4,27,16,52,35,17,49,14,18,4,17,14,9,1,9,10,11,20,15,21,994
PumpStorage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,612
SVC,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,,0,,0,0,,0,0,0,0,0,0,,0,0,0
Wind  ,510.3,55.3,299.7,586.1,17.5,9.3,0.2,0.7,0.7,205.1,17.6,1905.6,70.7,22.1,211.5,359.3,0.1,6.3,964.7,34.2,71.2,576,141.6,926.8,43.5,130.8,323.2,87.9,119.6,295.5,1224.2,332.9,0.4,596.1,1046.9,805.8,11999.4
Grand Total,2309.9,1369,3333.6,1319.8,498.6,102.5,101.3,344.2,147.7,2344.6,174.3,5649.5,253.1,142.8,595.7,808.5,261.2,87.7,4512,539.2,791.4,1829.7,2151.3,1413.4,1463.4,143.3,377.2,184.1,380.4,621.5,2402,363.3,34.2,965.6,2443.8,901.1,41360.9
